museum,museumLabel,creation_date,visitors,coord,image
http://www.wikidata.org/entity/Q30252546,Musée Estève,,15725,Point(2.396195 47.085951),
http://www.wikidata.org/entity/Q30252546,Musée Estève,,15947,Point(2.396195 47.085951),
http://www.wikidata.org/entity/Q30252546,Musée Estève,,16402,Point(2.396195 47.085951),
http://www.wikidata.org/entity/Q30252546,Musée Estève,,17163,Point(2.396195 47.085951),
http://www.wikidata.org/entity/Q30252546,Musée Estève,,17173,Point(2.396195 47.085951),
http://www.wikidata.org/entity/Q30252546,Musée Estève,,17904,Point(2.396195 47.085951),
http://www.wikidata.org/entity/Q30252546,Musée Estève,,18312,Point(2.396195 47.085951),
http://www.wikidata.org/entity/Q30252546,Musée Estève,,18571,Point(2.396195 47.085951),
http://www.wikidata.org/entity/Q30252546,Musée Estève,,18902,Point(2.396195 47.085951),
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,20914,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,21105,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,21595,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,23842,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,24302,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,24787,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,25084,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,27929,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,28532,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30271661,Palais Galliera,,,Point(2.296666666 48.865555555),http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Galliera%2C%20Paris%2021%20July%202017.jpg
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,80,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,90,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,184,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,219,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,228,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,2680,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,3280,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,453,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,563,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,803,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,1881,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,2956,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,3319,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,3451,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,3786,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,3957,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30264109,musée du terroir et de la volaille,,4243,Point(5.067591 46.503251),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,10000,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,9980,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,9777,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,9954,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,10042,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,10067,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,10104,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,10192,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,10394,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,10697,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,10794,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,11005,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30252555,musée des Salines,,78200,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,69710,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,70430,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,76250,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,44589,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,49054,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,50037,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,50719,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,51114,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,51758,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,54299,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,55404,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,62057,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,63847,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,65333,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,67501,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,68933,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,71973,,
http://www.wikidata.org/entity/Q30252555,musée des Salines,,74565,,
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,5470,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,3403,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,3475,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,3589,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,3668,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,3675,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,3826,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,3841,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,4006,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,4137,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,4158,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,4356,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,4414,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,4503,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,4638,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,5006,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,5435,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30263336,Maison du blé et du pain,,5724,Point(5.02263 46.89879),
http://www.wikidata.org/entity/Q30274030,musée du vin de Bourgogne,,15310,Point(4.837574 47.023618),http://commons.wikimedia.org/wiki/Special:FilePath/Beaune%20Mus%C3%A9e%20du%20vin%2004.jpg
http://www.wikidata.org/entity/Q30250588,Musée de la Tour des Echevins,,6842,Point(6.380482 47.816821),http://commons.wikimedia.org/wiki/Special:FilePath/Tour%20des%20Echevins.jpg
http://www.wikidata.org/entity/Q30250588,Musée de la Tour des Echevins,,7216,Point(6.380482 47.816821),http://commons.wikimedia.org/wiki/Special:FilePath/Tour%20des%20Echevins.jpg
http://www.wikidata.org/entity/Q30250588,Musée de la Tour des Echevins,,7328,Point(6.380482 47.816821),http://commons.wikimedia.org/wiki/Special:FilePath/Tour%20des%20Echevins.jpg
http://www.wikidata.org/entity/Q30250588,Musée de la Tour des Echevins,,7393,Point(6.380482 47.816821),http://commons.wikimedia.org/wiki/Special:FilePath/Tour%20des%20Echevins.jpg
http://www.wikidata.org/entity/Q30218775,musée Bernard-d'Agesci,,16232,Point(-0.454444444 46.320833333),http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Bernard%20d%27Agesci%202.jpg
http://www.wikidata.org/entity/Q30218775,musée Bernard-d'Agesci,,17081,Point(-0.454444444 46.320833333),http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Bernard%20d%27Agesci%202.jpg
http://www.wikidata.org/entity/Q30218775,musée Bernard-d'Agesci,,18257,Point(-0.454444444 46.320833333),http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Bernard%20d%27Agesci%202.jpg
http://www.wikidata.org/entity/Q30218775,musée Bernard-d'Agesci,,18656,Point(-0.454444444 46.320833333),http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Bernard%20d%27Agesci%202.jpg
http://www.wikidata.org/entity/Q30218775,musée Bernard-d'Agesci,,19171,Point(-0.454444444 46.320833333),http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Bernard%20d%27Agesci%202.jpg
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,1050,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,313,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,441,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,481,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,509,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,529,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,558,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,561,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,592,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,655,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,678,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,682,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,761,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,816,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,828,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,852,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,942,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,1023,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q28810701,Musée ornithologique Charles-Payraudeau,,1088,Point(-1.292607 46.671824),
http://www.wikidata.org/entity/Q29734225,musée de la Gendarmerie et du Cinéma de Saint-Tropez,2016-06-26T00:00:00Z,100000,Point(6.635555555 43.269444444),http://commons.wikimedia.org/wiki/Special:FilePath/Gendarmerie%20de%20Saint-Tropez%20-%20Museum.jpg
http://www.wikidata.org/entity/Q28819543,musée de la Marine du Louvre,1827-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q28973562,musée Jean-Couty,2017-03-18T00:00:00Z,,Point(4.829383 45.798323),http://commons.wikimedia.org/wiki/Special:FilePath/Lyon%209e%20-%20Cour%20du%20mus%C3%A9e%20Jean%20Couty.jpg
http://www.wikidata.org/entity/Q30105597,Musée Marceau Constantin,,,,
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,26190,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,35640,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28952390,musée lorrain des cheminots,,,Point(6.32685 49.443604),
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,13792,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,17171,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,18386,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,18678,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q30140515,Espace EDF Bazacle,,,Point(1.43221 43.60438),http://commons.wikimedia.org/wiki/Special:FilePath/Usine%20du%20Bazacle.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,19438,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,19763,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,24006,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,24395,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,25959,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,25982,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,26186,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,27351,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,28331,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,28562,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,28668,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,29315,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q30250714,musée Barrois,,9000,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,8970,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,8935,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,9313,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,9379,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q30250714,musée Barrois,,9562,Point(5.156111111 48.771666666),
http://www.wikidata.org/entity/Q28711374,Musée catalan des arts et traditions populaires,1963-01-01T00:00:00Z,31197,Point(2.893888888 42.700555555),http://commons.wikimedia.org/wiki/Special:FilePath/Perpignan%20Castillet%201.jpg
http://www.wikidata.org/entity/Q29950482,maison de la musique mécanique et de la dentelle,1996-01-01T00:00:00Z,,Point(6.134333 48.300275),http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20de%20la%20Maison%20de%20la%20musique%20m%C3%A9canique-Mirecourt%20%281%29.jpg
http://www.wikidata.org/entity/Q28819543,musée de la Marine du Louvre,1752-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,3100,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,2150,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,3940,Point(5.034151554 43.548194885),
